nesdis_id,nwsli,state_code,latitude_d,longitude_d,owner_code,pe1,pe2,pe3,pe4,pe5,pe6,pe7,pe8,pe9,pe10,pe11,pe12,pe13,pe14,pe15,pe16,pe17,pe18,pe19,pe20,pe21,p322,pe23,pe24,pe25
EDD0378E,KRSH1,HI,22.0167,-159.396,EDDLNR,HP,,,,,,,,,,,,,,,,,,,,,,,
15DEF7B8,KRTH1,HI,20.5569,-156.575,NWSPAC,US,UD,UP,TA,PA,PC,VB,,,,,,,,,,,,,,,,,
169CA30A,KSFH1,HI,21.4889,-157.996,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
325A861E,KTAH1,HI,21.6792,-157.989,BLM001,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,TX,TN,RW,,,,,,,,,,,
16DEA522,KUSH1,HI,21.4386,-157.844,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DDF6608C,KUTH1,HI,21.4972,-157.981,USGS01,HP,VB,,,,,,,,,,,,,,,,,,,,,,
817075F6,KUUH1,HI,20.0342,-155.667,NWSPAC,PC,,,,,,,,,,,,,,,,,,,,,,,
B15054AA,KWEH1,HI,20.0333,-155.825,NWSPAC,US,UD,UP,TA,PA,PC,VB,,,,,,,,,,,,,,,,,
DDF2C54E,KWGH1,HI,21.07,-156.948,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DDC77770,KWKH1,HI,22.1328,-159.62,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
3278C10E,KWLH1,HI,21.5872,-158.013,BLM001,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
171AB6A8,KWNH1,HI,21.3928,-157.774,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DDF6A592,KWSH1,HI,20.0853,-155.681,USGS01,HG,PC,VB,,,,,,,,,,,,,,,,,,,,,
DDE373A4,KWWH1,HI,21.4058,-157.791,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
1561501A,LIHH1,HI,22.0239,-159.387,NWSPAC,PC,,,,,,,,,,,,,,,,,,,,,,,
32D620C2,LKHH1,HI,19.1008,-155.67,NPS003,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
48702336,LNIH1,HI,20.8733,-157.006,DFWLNR,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,TX,TN,RW,,,,,,,,,,,
B159741A,LPHH1,HI,19.9831,-155.232,NWSPAC,PC,,,,,,,,,,,,,,,,,,,,,,,
190524C8,LUAH1,HI,21.4211,-158.135,NWSPAC,PC,PC,,,,,,,,,,,,,,,,,,,,,,
8170406C,MABH1,HI,20.9553,-156.656,NWSPAC,PC,,,,,,,,,,,,,,,,,,,,,,,
324C075A,MAPH1,HI,21.5261,-158.204,BLM001,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,TX,TN,RW,,,,,,,,,,,
19007374,MAUH1,HI,21.3511,-157.767,NWSPAC,PC,,,,,,,,,,,,,,,,,,,,,,,
D109224A,MCRH1,HI,22.1172,-159.601,USGS01,PC,VB,,,,,,,,,,,,,,,,,,,,,,
3286026C,MKAH1,HI,22.1306,-159.715,DFWLNR,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
3266C2F8,MKGH1,HI,21.5428,-158.199,BLM001,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,TX,TN,RW,,,,,,,,,,,
DD1423F8,MKHH1,HI,21.5017,-158.18,USGS01,HG,PC,VB,,,,,,,,,,,,,,,,,,,,,
175D04CE,MKLH1,HI,21.9714,-159.646,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
FA9024CE,MKPH1,HI,21.2033,-156.966,NPS003,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
3266B468,MKRH1,HI,21.5286,-158.226,BLM001,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,TX,TN,RW,,,,,,,,,,,
DE087760,MKSH1,HI,21.2967,-157.837,USGS01,HG,WT,TW,VB,,,,,,,,,,,,,,,,,,,,
EDD06920,MKVH1,HI,21.9414,-159.469,EDDLNR,HP,,,,,,,,,,,,,,,,,,,,,,,
AAB6D15A,MLDH1,HI,22.1833,-159.337,BLM001,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
487016AC,MLKH1,HI,21.115,-156.947,DFWLNR,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,TX,TN,RW,,,,,,,,,,,
4870603C,MNRH1,HI,22.0294,-159.762,DFWLNR,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
1629A502,MNWH1,HI,21.3083,-157.809,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
1900B66A,MOAH1,HI,21.3736,-157.88,NWSPAC,PC,,,,,,,,,,,,,,,,,,,,,,,
CD012AF0,MOBH1,HI,19.5353,-155.576,NOACRD,DY,DJ,XR,PC,PC,PC,US,UP,DH,TA,PP,PC,,,,,,,,,,,,
1689664A,MOGH1,HI,21.3933,-157.84,USGS01,PC,VB,,,,,,,,,,,,,,,,,,,,,,
163AB6E4,MOSH1,HI,21.3881,-157.849,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD7D017A,MWSH1,HI,21.3594,-157.762,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
32D64524,NENH1,HI,19.2564,-155.614,NPS003,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
DD5EA762,NHSH1,HI,21.3719,-157.913,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
1900D38C,NIUH1,HI,21.2897,-157.733,NWSPAC,PC,,,,,,,,,,,,,,,,,,,,,,,
D114953C,NLIH1,HI,19.7644,-155.152,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
EDD024F8,NURH1,HI,21.3397,-157.837,EDDLNR,HP,VB,,,,,,,,,,,,,,,,,,,,,,
156097FE,NUUH1,HI,22.1481,-159.645,NWSPAC,PC,,,,,,,,,,,,,,,,,,,,,,,
8379F6FA,OFRH1,HI,21.4775,-157.937,FWSBID,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
19011468,OFSH1,HI,21.3775,-157.751,NWSPAC,PC,,,,,,,,,,,,,,,,,,,,,,,
16E875F4,OHGH1,HI,20.6683,-156.052,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
EDD07484,OKNH1,HI,22.0064,-159.365,EDDLNR,HP,,,,,,,,,,,,,,,,,,,,,,,
DDD7067E,OLBH1,HI,22.0756,-159.396,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
195001A6,OMAH1,HI,21.4567,-158.18,NWSPAC,PC,,,,,,,,,,,,,,,,,,,,,,,
163D098C,OPAH1,HI,21.5622,-158,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
EDD02A2A,OPRH1,HI,21.5703,-158.028,EDDLNR,HP,,,,,,,,,,,,,,,,,,,,,,,
